GENDER_ENC,PARTNER_ENC,DEPENDENTS_ENC,PHONESERVICE_ENC,PAPERLESS_ENC,ML_NO,ML_YES,IS_DSL,IS_FIBER,OS_NO,OS_YES,OB_NO,OB_YES,DP_NO,DP_YES,TS_NO,TS_YES,STV_NO,STV_YES,SM_NO,SM_YES,CONTRACT_ONE_YEAR,CONTRACT_TWO_YEAR,PM_MAILED,PM_BANK_TRANSFER,PM_CREDIT_CARD,BUCKET_0_12,BUCKET_13_24,BUCKET_25_48,BUCKET_49_60,AVG_MONTHLY_CHARGE,CLV_ESTIMATE,HIGH_MONTHLY_CHARGE,HAS_LONG_TENURE,TENURE_ZSCORE,MONTHLYCHARGES_ZSCORE,TOTALCHARGES_ZSCORE,CHURN_ENC
1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,41.138888889,3031.2,0,1,1.612490578,-0.7544448546,0.2994124465,0
0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,53.172222222,979.2,0,0,-0.587526886,-0.3456164734,-0.5850614063,0
0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,95.25,849.6,1,0,-0.9541964632,0.9839067176,-0.6291108423,1
0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,81.366666667,225.9,0,0,-1.198642848,0.3490593939,-0.8996057014,0
1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,77.667021277,3708.3,0,0,0.5939639741,0.4687164811,0.6030822438,0
0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,80.55483871,2455.2,0,0,-0.05789305214,0.478687905,0.09436309403,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,18.618,1007.5,0,0,0.7161871665,-1.484020706,-0.596619696,0
1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,88.735,798.5,0,0,-0.9134553991,0.5002926569,-0.6158320439,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,49.05,49.05,0,0,-1.280124976,-0.5234402001,-0.9856531975,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20.974038462,1060.8,0,0,0.7976692948,-1.475711186,-0.52614501,0
1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,110.921875,7142.4,1,1,1.286562064,1.55560169,2.124475207,0
1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,22.977419355,1503.5,0,1,1.205079936,-1.347744579,-0.3788209324,0
0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,59.133333333,193.5,0,0,-1.198642848,-0.009911867646,-0.9290308128,0
0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,109.633928571,6188,1,0,0.9606335514,1.519039802,1.701185935,0
0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,58.45326087,2559.9,0,0,0.55322291,-0.3040688736,0.1789106594,0
0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,60.28125,437.2,0,0,-0.9949375274,-0.3373069534,-0.7945443776,0
1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,70.376666667,2242.5,0,0,-0.09863411628,0.33077845,-0.07587904265,0
0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,27.035555556,1165.5,0,0,0.5124818458,-1.292901747,-0.4705814,0
0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,79.35,79.35,0,0,-1.280124976,0.483673617,-0.9722861679,1
0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,51.395454545,556.05,0,0,-0.872714335,-0.4735830805,-0.7578843062,0
0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,70.985714286,526.05,0,0,-1.035678592,0.3440736819,-0.7880814408,1
0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,103.035714286,4359.6,1,0,0.3902586534,1.296344667,0.9018110929,0
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,19.864285714,987.35,0,0,0.6754461024,-1.484020706,-0.5778926198,0
1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,102.083333333,893.7,1,0,-0.9541964632,1.146773308,-0.6019797425,0
0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,63.298571429,2175.25,0,0,0.1050712044,-0.08802135511,-0.02993263546,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,22.020833333,991.2,0,0,0.6347050382,-1.467401666,-0.5409899126,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,20.154347826,917.7,0,0,0.55322291,-1.490668322,-0.5982960892,0
1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,34.801724138,978.75,0,0,-0.1393751804,-1.031982821,-0.562055116,0
1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,85.673333333,2461.5,1,0,-0.09863411628,0.5734164324,0.1265674889,0
1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,74.7,74.7,0,0,-1.280124976,0.329116546,-0.9743375437,0
1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,86.579545455,5544,1,1,1.368044193,0.6382306879,1.513584306,0
0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,109.338461538,7218.25,1,1,1.327303129,1.537320746,2.128004456,0
1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,103.597916667,7264.8,1,1,1.612490578,1.199954236,2.283313459,0
0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,77.279166667,947.4,0,0,-0.8319732708,0.4703783851,-0.5981858001,1
1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,66.883098592,4746.35,0,1,1.571749513,0.06819761982,1.08762604,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,22.77,105.25,0,0,-1.11716072,-1.454106434,-0.9570662826,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,21.292307692,1092,0,0,0.7976692948,-1.455768338,-0.5188438766,0
0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,100.58,2462.5,1,0,-0.302339437,1.120182845,0.1019950945,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20.2,20.2,0,0,-1.280124976,-1.482358802,-0.9983805508,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.45,19.45,0,0,-1.280124976,-1.507287361,-0.9987114179,0
1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,94.884210526,3610,1,0,0.2272943968,1.003849565,0.5833405086,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,45.867424242,3006.3,0,1,1.368044193,-0.6397734793,0.3281978817,0
1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,111.938970588,7480,1,1,1.449526321,1.502420762,2.35072211,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,20.04,121.5,0,0,-1.11716072,-1.346082675,-0.9630880633,0
0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,101.43125,7498.8,1,1,1.612490578,1.307977995,2.214493108,0
0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,28.9890625,964.8,0,0,-0.017151988,-1.151639908,-0.5980534533,0
1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,91.193023256,4057.05,1,0,0.4309997175,0.9822448136,0.7226134875,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18.934027778,1396.8,0,1,1.612490578,-1.508949265,-0.4058858588,0
1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,95.252727273,5321.25,1,0,0.9198924872,1.062016205,1.303880757,1
0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,58.504807692,3013.4,0,0,0.7976692948,-0.2276212902,0.3348152231,0
0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,91.955813953,3940.95,1,0,0.4309997175,0.8925019982,0.7370834074,0
0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,77.517567568,2830.5,0,0,0.1865533327,0.3889450896,0.2580099471,1
0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,53.4921875,3494.4,0,1,1.286562064,-0.3389688574,0.5030059839,0
1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,82.8,269.55,1,0,-1.198642848,0.8326734546,-0.8977087302,0
0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,31.2875,1117.8,0,0,0.1458122686,-1.121725636,-0.5103957374,0
0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,106.465,1002.5,1,0,-0.9134553991,1.178349484,-0.5376150684,1
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,20.369512195,846.65,0,0,0.3495175893,-1.467401666,-0.638860392,0
1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,79.688888889,2300.4,1,0,-0.2208573087,0.6781163837,-0.05810045206,0
0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,98.490178571,5588.8,1,0,0.9606335514,1.163392348,1.425882475,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18.791666667,124.2,0,0,-1.076419656,-1.465739762,-0.9575515543,0
1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,76.516666667,223.2,0,0,-1.198642848,0.3191451221,-0.9060245225,1
0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,50.05,354.9,0,0,-1.035678592,-0.4685973685,-0.8527328664,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15.725,83.4,0,0,-1.157901784,-1.46075405,-0.9795431856,0
1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,91.746969697,2935.35,1,0,0.02358907614,0.8027591828,0.3283743441,0
0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,79.092592593,2107.35,0,0,-0.2208573087,0.4404641133,-0.06520306517,1
1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,23.94375,1695.6,0,1,1.612490578,-1.371011234,-0.2467608557,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19.75,19.75,0,0,-1.280124976,-1.497315937,-0.9985790711,0
1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,56.131690141,4007.95,0,1,1.571749513,-0.2774784098,0.7508695353,0
0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,93.511538462,1117.35,1,0,-0.7912322067,0.7030449435,-0.4710004982,0
0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,60.106,1465,0,0,-0.302339437,-0.2060165383,-0.3443886993,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,48.658208955,3386.85,0,1,1.408785257,-0.4735830805,0.4309210781,0
1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,35.45,35.45,0,0,-1.280124976,-0.975478085,-0.9916529204,1
1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,40.625,88.7,0,0,-1.239383912,-0.6796591751,-0.9714479713,1
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,27.63255814,1105.1,0,0,0.4309997175,-1.299549363,-0.483110233,0
